"","row","column","cor","p","p.adj"
"33","Soft.Substrate","Hard.Substrate",0.154313059402774,0.00434429736643693,0.01540250884464
"34","Annelida","Hard.Substrate",0.0800264128567267,0.140874435425979,0.238874042678835
"35","Chordata","Hard.Substrate",0.0544081573126809,0.317173418176626,0.419314010470794
"36","Porifera","Hard.Substrate",0.0613092623709026,0.259579939449549,0.374303187681586
"37","Algae","Cyanobacteria",-0.152631164484962,0.00479400091187521,0.0162579161359246
"38","Bryozoa","Cyanobacteria",0.162048370255912,0.00272783010799316,0.0106385374211733
"39","Cnidaria","Cyanobacteria",-0.0607535278249952,0.263931734903683,0.374303187681586
"40","Other","Cyanobacteria",-0.0853471165406346,0.116230323477128,0.210836400725954
"41","Soft.Substrate","Cyanobacteria",0.0601329649358004,0.268850079850741,0.374469754077818
"42","Annelida","Cyanobacteria",-0.0347008678544262,0.523676745292609,0.591982407722079
"43","Chordata","Cyanobacteria",0.148891806284016,0.00594740836919438,0.0193290771998818
"44","Porifera","Cyanobacteria",0.111291890169233,0.0402728836795889,0.0897509979145125
"45","Hard.Substrate","Cyanobacteria",-0.108043072357785,0.0465127836454293,0.0954736085353549
"46","Algae","Echinodermata",0.0428567973111345,0.430876859541779,0.517052231450135
"47","Bryozoa","Echinodermata",-0.0877955080380989,0.106087985478887,0.197020544460791
"48","Cnidaria","Echinodermata",0.0825907060593423,0.12853945965104,0.222801730061803
"49","Other","Echinodermata",-0.0829211112000289,0.127012855747471,0.222801730061803
"50","Soft.Substrate","Echinodermata",0.0627954972645827,0.24818562230937,0.365254312077941
"51","Annelida","Echinodermata",0.0693734256433569,0.201952089293213,0.315045259297413
"52","Chordata","Echinodermata",0.138628048012305,0.0104934760553244,0.0303144863820481
"53","Porifera","Echinodermata",0.0756898598295519,0.163767857921624,0.266263593547026
"54","Hard.Substrate","Echinodermata",-0.019623129360092,0.718447219745304,0.718447219745304
"55","Cyanobacteria","Echinodermata",-0.0446273783937409,0.412064204130548,0.502699841546906
"56","Algae","Mollusca",0.0448891456313161,0.409324637461927,0.502699841546906
"57","Bryozoa","Mollusca",-0.0318907230215508,0.557862483012575,0.612863009506773
"58","Cnidaria","Mollusca",0.0252153870452691,0.643142056763774,0.661440685559083
"59","Other","Mollusca",-0.0445885332226855,0.412471664858999,0.502699841546906
"60","Soft.Substrate","Mollusca",-0.0371592220008928,0.494673343430198,0.567419423346403
"61","Annelida","Mollusca",-0.0332858003919056,0.540756739158806,0.602557509348384
"62","Chordata","Mollusca",0.114346103658404,0.035066419041359,0.0804464907419412
"63","Porifera","Mollusca",0.0261254346072622,0.631201018769357,0.661440685559083
"64","Hard.Substrate","Mollusca",-0.0386142575555483,0.477918530278907,0.556382766593355
"65","Cyanobacteria","Mollusca",-0.0279752269995479,0.60722497570861,0.65782705701766
"66","Echinodermata","Mollusca",0.297227201755431,2.3078048139169e-08,1.46249216737004e-07
"67","Algae","live_coverage",0.683533956496558,0,0
"68","Bryozoa","live_coverage",-0.118849664708699,0.0284387159968402,0.069319370242298
"69","Cnidaria","live_coverage",-0.110609790535883,0.0415208355000487,0.0899618102501055
"70","Other","live_coverage",-0.0676420323824762,0.213466629916535,0.326478375166465
"71","Soft.Substrate","live_coverage",-0.883699447893045,0,0
"72","Annelida","live_coverage",-0.0251138100594677,0.644480667980645,0.661440685559083
"73","Chordata","live_coverage",-0.162997095230553,0.00257288577214165,0.0105623731698447
"74","Porifera","live_coverage",-0.361586302806114,6.11999340094371e-12,5.30399428081788e-11
"75","Hard.Substrate","live_coverage",-0.142597666377835,0.00845951959935753,0.0253785587980726
"76","Cyanobacteria","live_coverage",-0.0398764237172423,0.463638557978042,0.547936477610413
"77","Echinodermata","live_coverage",-0.0217244848956306,0.689781500413051,0.698739701717117
"78","Mollusca","live_coverage",0.0585086700798061,0.282018803365484,0.385920467763295
